id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,David,Raya Martín,Arsenal,1,60,38.2,6.0,6,90,0,0,1,0,0,0,0,0,0,1,0,24,11.8,0.0,0.0,1.2
2,Kepa,Arrizabalaga Revuelta,Arsenal,1,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,Illan,Meslier,Arsenal,1,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,Gabriel,dos Santos Magalhães,Arsenal,2,80,29.2,5.0,5,90,0,0,1,0,0,0,0,1,0,0,0,21,6.6,1.8,1.0,0.9
5,Jurriën,Timber,Arsenal,2,65,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,William,Saliba,Arsenal,2,60,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,Myles,Lewis-Skelly,Arsenal,3,55,0.7,3.0,3,90,0,0,1,0,0,0,0,0,0,0,0,15,11.0,22.9,7.0,4.1
8,Riccardo,Calafiori,Arsenal,2,56,41.5,9.0,9,80,0,1,1,0,0,0,0,0,0,0,0,31,26.0,12.2,4.0,4.2
9,Piero,Hincapié,Arsenal,2,55,1.5,1.0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1
10,Benjamin,White,Arsenal,2,55,6.4,11.0,11,90,0,1,1,0,0,0,0,0,0,0,2,37,33.2,26.8,13.0,7.3
11,Cristhian,Mosquera,Arsenal,2,55,5.9,6.0,6,90,0,0,1,0,0,0,0,0,0,0,0,27,14.4,0.6,0.0,1.5
12,Bukayo,Saka,Arsenal,3,95,10.4,9.0,9,67,1,0,1,0,0,0,0,0,0,0,1,36,42.8,26.1,33.0,10.2
13,Declan,Rice,Arsenal,3,75,17.1,3.0,3,67,0,0,1,0,0,0,0,0,0,0,0,10,6.8,6.4,2.0,1.5
14,Eberechi,Eze,Arsenal,3,65,1.8,1.0,1,14,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.8,1.0,0.1
15,Martin,Ødegaard,Arsenal,3,65,11.3,11.0,11,75,1,0,1,0,0,0,0,0,0,0,3,41,50.6,41.5,31.0,12.3
16,Noni,Madueke,Arsenal,3,65,0.3,1.0,1,22,0,0,0,0,0,0,0,0,0,0,0,8,9.4,43.1,0.0,5.3
17,Mikel,Merino Zazón,Arsenal,3,60,0.6,1.0,1,14,0,0,0,0,0,0,0,0,0,0,0,5,3.6,1.2,14.0,1.9
18,Gabriel,Martinelli Silva,Arsenal,3,64,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19,Martín,Zubimendi Ibáñez,Arsenal,3,55,1.0,1.0,1,22,0,0,0,0,0,0,0,0,0,0,0,3,3.8,2.3,0.0,0.6
20,Max,Dowman,Arsenal,3,54,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,Ethan,Nwaneri,Arsenal,3,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23,Fábio,Ferreira Vieira,Arsenal,3,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24,Reiss,Nelson,Arsenal,3,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25,Viktor,Gyökeres,Arsenal,4,74,7.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26,Kai,Havertz,Arsenal,4,75,7.3,6.0,6,90,1,0,1,0,0,0,0,0,0,0,0,34,37.2,13.2,25.0,7.5
27,Gabriel,Fernando de Jesus,Arsenal,4,60,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31,Ezri,Konsa Ngoyo,Arsenal,2,45,11.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
452,Bruno,Guimarães Rodriguez Moura,Arsenal,3,70,2.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
557,Christos,Tzolis,Arsenal,3,65,25.9,6.0,6,75,0,1,1,0,0,0,0,0,0,0,0,30,17.0,39.8,30.0,8.7
28,Emiliano,Martínez Romero,Aston Villa,1,50,4.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29,Marco,Bizot,Aston Villa,1,45,0.1,1.0,1,90,0,0,0,4,0,0,0,0,0,3,0,1,28.2,0.0,0.0,2.8
30,Lucas,Digne,Aston Villa,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32,Matty,Cash,Aston Villa,2,45,7.8,-1.0,-1,90,0,0,0,4,0,0,0,1,0,0,0,-8,12.0,1.1,0.0,1.3
33,Tyrone,Mings,Aston Villa,2,45,0.4,1.0,1,16,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2
34,Pau,Torres,Aston Villa,2,45,0.4,0.0,0,73,0,0,0,4,0,0,0,0,0,0,0,-14,0.0,0.7,0.0,0.0
35,Lamare,Bogarde,Aston Villa,3,50,0.1,1.0,1,16,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3
36,Ian,Maatsen,Aston Villa,2,45,0.8,0.0,0,81,0,0,0,4,0,0,0,0,0,0,0,-9,9.2,0.8,3.0,1.3
37,Victor,Lindelöf,Aston Villa,2,45,0.3,-2.0,-2,90,0,0,0,4,1,0,0,0,0,0,0,-13,1.8,0.1,0.0,0.2
38,Andrés,García,Aston Villa,2,40,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39,Kosta,Nedeljkovic,Aston Villa,2,40,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41,Emiliano,Buendía Stati,Aston Villa,3,60,1.2,2.0,2,85,0,0,0,4,0,0,0,0,0,0,0,4,0.0,16.3,8.0,2.2
44,Leon,Bailey,Aston Villa,3,55,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45,John,McGinn,Aston Villa,3,55,2.9,1.0,1,81,0,0,0,4,0,0,0,1,0,0,0,8,1.6,2.4,1.0,0.5
46,Ross,Barkley,Aston Villa,3,50,0.2,2.0,2,73,0,0,0,4,0,0,0,0,0,0,0,11,9.4,21.4,7.0,3.8
47,Boubacar,Kamara,Aston Villa,3,50,0.3,2.0,2,90,0,0,0,4,0,0,0,0,0,0,0,9,11.2,2.8,0.0,1.4
48,Amadou,Onana,Aston Villa,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49,Samuel,Iling-Junior,Aston Villa,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50,Bradley,Burrowes,Aston Villa,3,45,0.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51,George,Hemmings,Aston Villa,3,45,0.7,2.0,2,90,0,0,0,4,0,0,0,0,0,0,0,12,10.6,11.6,2.0,2.4
52,Alysson Edward Franco,da Rocha dos Santos,Aston Villa,3,50,0.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,0,5,4.0,0.0,0.0,0.4
53,Johan,Manzambi,Aston Villa,3,60,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54,Joao,Gomes,Aston Villa,3,55,0.1,-2.0,-2,39,0,0,0,4,0,0,0,0,1,0,0,-2,1.0,11.0,0.0,1.2
55,Ollie,Watkins,Aston Villa,4,79,8.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
56,Tammy,Abraham,Aston Villa,4,55,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
160,Alejandro,Garnacho Ferreyra,Aston Villa,3,60,0.6,1.0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
582,Brian,Madjo,Aston Villa,4,55,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
596,Matteo,Ruggeri,Aston Villa,2,45,0.1,1.0,1,8,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.0,0.0,0.4
597,Zion,Suzuki,Aston Villa,1,50,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
606,Triston,Rowe,Aston Villa,2,40,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
607,Luka,Lynch,Aston Villa,3,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
611,Aaron,Wan-Bissaka,Aston Villa,2,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
57,Đorđe,Petrović,Bournemouth,1,45,3.3,2.0,2,90,0,0,0,2,0,0,0,0,0,4,0,13,36.8,0.0,0.0,3.7
58,Fraser,Forster,Bournemouth,1,40,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59,Will,Dennis,Bournemouth,1,40,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60,James,Hill,Bournemouth,2,55,0.9,1.0,1,90,0,0,0,2,0,0,0,0,0,0,0,0,11.6,0.3,0.0,1.2
61,Adrien,Truffert,Bournemouth,2,55,4.2,1.0,1,90,0,0,0,2,0,0,0,0,0,0,0,0,15.4,1.3,0.0,1.7
62,Bafodé,Diakité,Bournemouth,2,50,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
63,Veljko,Milosavljevic,Bournemouth,2,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64,Adam,Smith,Bournemouth,2,45,0.1,1.0,1,90,0,0,0,2,0,0,0,0,0,0,0,4,7.0,0.6,0.0,0.8
65,Julián,Araujo Zúñiga,Bournemouth,2,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
66,Julio,Soler Barreto,Bournemouth,2,40,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
67,Rayan Vitor,Simplício Rocha,Bournemouth,3,65,2.8,2.0,2,88,0,0,0,1,0,0,0,0,0,0,0,9,6.2,11.3,17.0,3.5
68,Marcus,Tavernier,Bournemouth,3,60,2.2,10.0,10,90,1,0,0,2,0,0,0,0,0,0,3,32,40.0,17.2,18.0,7.5
69,Alex,Scott,Bournemouth,3,60,1.5,2.0,2,90,0,0,0,2,0,0,0,0,0,0,0,17,11.4,4.8,0.0,1.6
70,Justin,Kluivert,Bournemouth,3,60,1.2,3.0,3,74,0,0,1,0,0,0,0,0,0,0,0,15,11.0,14.3,17.0,4.2
71,Lewis,Cook,Bournemouth,3,50,0.2,3.0,3,75,0,0,1,0,0,0,0,0,0,0,0,8,4.6,2.1,0.0,0.7
72,Ben,Gannon-Doak,Bournemouth,3,50,0.1,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2
73,Tyler,Adams,Bournemouth,3,50,0.2,1.0,1,15,0,0,0,2,0,0,0,0,0,0,0,4,3.6,0.6,0.0,0.4
74,David,Brooks,Bournemouth,3,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
75,Ryan,Christie,Bournemouth,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
76,Alex,Tóth,Bournemouth,3,50,0.0,1.0,1,15,0,0,0,2,0,0,0,0,0,0,0,5,2.8,0.6,0.0,0.3
77,Amine,Adli,Bournemouth,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
78,Junior,Kroupi,Bournemouth,3,75,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
79,Francisco Evanilson,de Lima Barbosa,Bournemouth,4,60,2.9,4.0,4,74,0,1,1,0,0,0,0,1,0,0,0,17,19.4,11.9,2.0,3.3
80,Enes,Ünal,Bournemouth,4,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
81,Álvaro,Rodríguez,Bournemouth,4,60,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
566,António João,Pereira de Albuquerque Tavares da Silva,Bournemouth,2,50,0.3,2.0,2,90,0,0,0,2,0,0,0,1,0,0,0,5,31.4,0.3,0.0,3.2
573,Juanlu,Sánchez,Bournemouth,2,45,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
608,Daniel,Jebbison,Bournemouth,4,50,0.0,1.0,1,15,0,0,0,2,0,0,0,0,0,0,0,6,3.4,0.8,17.0,2.1
615,Michele,Di Gregorio,Bournemouth,1,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
82,Caoimhín,Kelleher,Brentford,1,50,6.4,7.0,7,90,0,0,1,0,0,0,0,0,0,4,0,34,31.4,0.0,0.0,3.1
83,Hákon Rafn,Valdimarsson,Brentford,1,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
84,Nathan,Collins,Brentford,2,55,2.1,6.0,6,90,0,0,1,0,0,0,0,0,0,0,0,21,11.6,21.5,17.0,5.0
85,Sepp,van den Berg,Brentford,2,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
86,Keane,Lewis-Potter,Brentford,3,55,0.9,10.0,10,90,1,0,1,0,0,0,0,0,0,0,2,37,47.2,15.9,19.0,8.2
87,Kristoffer,Ajer,Brentford,2,45,3.9,8.0,8,90,0,0,1,0,0,0,0,0,0,0,0,29,20.0,0.9,35.0,5.6
88,Michael,Kayode,Brentford,2,46,7.0,13.0,13,75,1,0,1,0,0,0,0,0,0,0,1,36,33.8,1.5,46.0,8.1
89,Rico,Henry,Brentford,2,45,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
90,Aaron,Hickey,Brentford,2,45,0.1,1.0,1,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0
91,Ethan,Pinnock,Brentford,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
92,Kim,Ji-soo,Brentford,2,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
93,Jannik,Schuster,Brentford,2,45,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
94,Kevin,Schade,Brentford,3,60,3.5,3.0,3,90,0,0,1,0,0,0,0,0,0,0,0,17,14.4,11.8,59.0,8.5
95,Dango,Ouattara,Brentford,3,65,1.1,3.0,3,66,0,0,1,0,0,0,0,0,0,0,0,6,1.0,30.8,15.0,4.7
96,Mikkel,Damsgaard,Brentford,3,55,0.5,1.0,1,14,0,0,0,0,0,0,0,0,0,0,0,6,7.6,26.3,0.0,3.4
97,Mathias,Jensen,Brentford,3,55,0.2,6.0,6,66,0,1,1,0,0,0,0,0,0,0,0,22,12.6,46.2,13.0,7.2
98,Vitaly,Janelt,Brentford,3,50,0.4,9.0,9,90,1,0,1,0,0,0,0,1,0,0,0,35,53.2,38.8,24.0,11.6
99,Antoni,Milambo,Brentford,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,Fábio,Freitas Gouveia Carvalho,Brentford,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
102,Yehor,Yarmoliuk,Brentford,3,50,1.2,1.0,1,23,0,0,0,0,0,0,0,0,0,0,0,7,2.2,0.8,3.0,0.6
103,Josh,Dasilva,Brentford,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
105,Jaidon,Anthony,Brentford,3,60,0.2,1.0,1,23,0,0,0,0,0,0,0,0,0,0,0,9,10.6,34.9,1.0,4.7
106,Igor Thiago,Nascimento Rodrigues,Brentford,4,80,16.8,0.0,0,82,0,0,1,0,0,0,1,0,0,0,0,-3,2.2,4.0,8.0,1.4
107,Kaye,Furo,Brentford,4,45,0.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
108,Callum,Wilson,Brentford,4,55,0.4,1.0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,5.0,1.8
565,Mamadou,Sangaré,Brentford,3,56,7.8,14.0,14,75,0,2,1,0,0,0,0,0,0,0,3,41,31.6,21.8,21.0,7.4
109,Bart,Verbruggen,Brighton,1,45,21.5,6.0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,6.6,0.0,0.0,0.7
111,Jason,Steele,Brighton,1,40,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
113,Ferdi,Kadıoğlu,Brighton,2,45,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
