first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Folarin,Balogun,FWD,44,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Cédric,Alves Soares,DEF,38,0.5,3,59,0,0,0,0,0,0,0,15,2.0,4.3,0.0,0.6,2023-24
Mohamed,Elneny,MID,44,0.1,6,25,0,1,0,0,0,0,0,16,4.0,2.1,10.0,1.6,2023-24
Fábio,Ferreira Vieira,MID,54,0.1,24,290,1,3,1,2,0,1,0,67,82.8,88.8,85.0,25.5,2023-24
Gabriel,dos Santos Magalhães,DEF,54,28.3,149,3042,3,1,16,26,4,0,8,676,675.8,121.9,379.0,117.9,2023-24
Kai,Havertz,MID,76,11.9,180,2627,13,10,16,22,11,0,15,515,763.2,613.4,1027.0,240.2,2023-24
Gabriel,Fernando de Jesus,FWD,77,2.6,85,1470,4,7,11,11,6,0,10,271,364.8,403.0,756.0,152.7,2023-24
Jorge Luiz,Frello Filho,MID,53,0.2,44,913,0,2,4,11,1,0,1,182,165.4,187.8,16.0,36.8,2023-24
Jakub,Kiwior,DEF,40,0.6,67,942,1,3,6,8,1,0,1,260,228.8,106.9,90.0,42.7,2023-24
Marcus,Oliveira Alencar,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Gabriel,Martinelli Silva,MID,75,4.2,118,2010,6,5,10,23,1,0,6,404,500.4,717.1,795.0,200.8,2023-24
Eddie,Nketiah,FWD,50,3.1,71,1065,5,4,6,10,3,0,5,206,235.0,136.3,417.0,77.2,2023-24
Martin,Ødegaard,MID,86,18.0,186,3098,8,11,19,23,2,0,26,703,910.4,1499.4,757.0,317.0,2023-24
Thomas,Partey,MID,48,0.1,24,785,0,0,5,5,3,0,0,142,117.6,122.9,37.0,27.8,2023-24
Nicolas,Pépé,MID,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Aaron,Ramsdale,GK,45,5.4,20,540,0,0,2,5,0,0,0,90,73.2,0.0,0.0,7.3,2023-24
Rúnar Alex,Rúnarsson,GK,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Bukayo,Saka,MID,88,49.2,226,2922,16,12,16,27,4,0,29,776,1093.8,1319.8,1342.0,375.7,2023-24
William,Saliba,DEF,59,39.1,164,3420,2,1,18,29,4,0,13,781,697.2,152.1,140.0,99.1,2023-24
Emile,Smith Rowe,MID,53,0.1,25,343,0,2,3,3,0,0,0,73,62.4,72.2,128.0,25.6,2023-24
Kieran,Tierney,DEF,44,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Takehiro,Tomiyasu,DEF,45,0.5,70,1140,2,1,6,10,0,1,4,244,247.0,141.8,143.0,52.8,2023-24
Leandro,Trossard,MID,66,3.6,138,1633,12,2,12,10,2,0,11,398,563.6,384.7,746.0,169.5,2023-24
Benjamin,White,DEF,61,23.3,182,2987,4,5,18,26,8,0,14,776,765.8,589.4,234.0,159.0,2023-24
Granit,Xhaka,MID,60,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Oleksandr,Zinchenko,DEF,50,5.1,104,1717,1,2,9,15,2,0,16,468,395.4,474.8,133.0,100.4,2023-24
David,Raya Martin,GK,53,11.7,135,2880,0,0,16,24,2,0,6,569,413.0,0.0,0.0,41.1,2023-24
Declan,Rice,MID,55,6.2,165,3225,7,9,17,28,5,0,17,744,959.4,745.3,451.0,215.9,2023-24
Reiss,Nelson,MID,48,0.0,16,256,0,0,1,1,1,0,0,58,42.8,87.7,39.0,16.9,2023-24
Jurriën,Timber,DEF,46,0.4,0,70,0,0,0,0,2,0,0,4,5.8,4.7,2.0,1.3,2023-24
Karl,Hein,GK,40,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Charles,Sagoe,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Reuell,Walters,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Bradley,Ibrahim,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Myles,Lewis-Skelly,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Ethan,Nwaneri,MID,45,0.0,1,13,0,0,0,0,0,0,0,3,2.0,12.3,4.0,1.8,2023-24
Mauro,Bandeira,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
James,Sweet,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Alexandre,Moreno Lopera,DEF,49,1.1,49,1024,2,0,3,20,2,0,5,211,217.8,156.9,152.0,52.7,2023-24
Leon,Bailey,MID,54,3.1,148,2063,10,11,5,32,5,0,11,482,663.2,707.1,623.0,199.1,2023-24
Emiliano,Buendía Stati,MID,57,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Matty,Cash,DEF,45,9.9,64,2138,2,2,3,36,8,0,4,337,465.2,231.8,378.0,107.1,2023-24
Calum,Chambers,DEF,38,2.2,6,149,0,1,0,6,1,0,0,37,39.0,12.2,0.0,5.1,2023-24
Philippe,Coutinho Correia,MID,58,0.2,2,24,0,0,0,1,0,0,0,7,4.0,2.8,12.0,1.8,2023-24
Keinan,Davis,FWD,49,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Leander,Dendoncker,MID,49,0.0,20,118,1,1,0,3,0,0,3,64,59.2,3.9,37.0,10.0,2023-24
Diego Carlos,Santos Silva,DEF,44,0.5,55,1809,0,0,6,36,4,0,1,338,370.4,59.8,100.0,53.2,2023-24
Lucas,Digne,DEF,46,3.1,85,2405,1,4,6,41,7,0,5,420,448.4,601.7,200.0,125.1,2023-24
Douglas Luiz,Soares de Paulo,MID,54,4.8,148,2994,9,5,6,57,12,0,25,666,761.8,867.0,381.0,201.1,2023-24
Jhon,Durán,FWD,50,0.2,50,461,5,1,0,12,5,0,7,162,190.2,55.2,165.0,40.2,2023-24
Kortney,Hause,DEF,39,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
