id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,David,Raya Martín,1,1,60,30.8,0.0,162,3330,0,0,19,26,0,0,0,1,0,60,11,633,541.6,33.5,0.0,57.5
2,Kepa,Arrizabalaga Revuelta,1,1,50,0.2,0.0,2,90,0,0,0,1,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0
3,Illan,Meslier,1,1,50,0.1,0.0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0
4,Gabriel,dos Santos Magalhães,1,2,80,25.9,0.0,209,2750,3,5,18,20,0,0,0,4,0,0,30,724,824.0,128.5,298.0,125.0
5,Jurriën,Timber,1,2,65,0.5,0.0,149,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7
6,William,Saliba,1,2,60,0.5,0.0,137,2614,1,0,15,20,0,0,0,2,0,0,12,581,552.6,201.0,90.0,84.3
7,Myles,Lewis-Skelly,1,3,55,0.3,0.0,29,697,0,0,2,8,0,0,0,3,0,0,0,110,73.2,74.6,29.0,17.6
8,Riccardo,Calafiori,1,2,55,15.6,0.0,109,1697,1,2,13,8,0,0,0,5,0,0,6,389,283.0,182.3,313.0,77.9
9,Piero,Hincapié,1,2,55,4.3,0.0,87,1787,1,2,5,19,1,0,0,2,0,0,7,335,453.6,184.7,72.0,70.9
10,Benjamin,White,1,2,55,0.3,0.0,45,699,0,1,5,6,0,0,0,0,0,0,3,181,154.8,133.4,54.0,34.3
11,Cristhian,Mosquera,1,2,55,16.8,0.0,40,986,0,0,3,8,0,0,0,4,0,0,1,195,219.2,88.7,20.0,32.9
12,Bukayo,Saka,1,3,95,10.6,0.0,157,2218,7,10,12,16,0,0,0,2,0,0,18,570,627.0,847.6,828.0,230.6
13,Declan,Rice,1,3,75,22.4,0.0,184,3093,4,9,18,25,0,0,0,3,0,0,23,790,827.2,1027.4,298.0,215.4
14,Eberechi,Eze,1,3,65,3.3,0.0,113,1885,7,3,11,14,0,0,0,1,0,0,8,439,393.4,305.7,455.0,115.1
15,Martin,Ødegaard,1,3,65,3.0,0.0,74,1363,1,7,6,13,0,0,0,0,0,0,5,306,311.8,564.4,168.0,104.4
16,Noni,Madueke,1,3,65,0.4,0.0,72,1205,3,1,8,9,0,0,0,0,0,0,9,254,257.4,352.8,404.0,101.3
17,Mikel,Merino Zazón,1,3,60,1.2,0.0,67,1024,4,3,4,10,0,0,0,1,0,0,5,236,304.4,191.8,244.0,73.6
18,Gabriel,Martinelli Silva,1,3,65,0.3,0.0,57,1065,1,5,2,8,0,0,0,3,0,0,3,195,204.6,202.2,390.0,79.0
19,Martín,Zubimendi Ibáñez,1,3,55,1.5,0.0,133,2991,5,1,16,25,0,0,0,4,0,0,9,604,603.2,385.1,271.0,126.2
20,Max,Dowman,1,3,55,0.2,0.0,16,152,1,1,1,1,0,0,0,0,0,0,0,51,45.2,55.5,65.0,16.6
21,Christian,Nørgaard,1,3,50,0.3,0.0,7,101,0,0,0,1,0,0,0,0,0,0,0,28,23.4,5.5,10.0,4.0
22,Ethan,Nwaneri,1,3,55,0.0,0.0,8,165,0,0,1,0,0,0,0,0,0,0,0,20,8.6,22.5,24.0,5.4
23,Fábio,Ferreira Vieira,1,3,55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24,Reiss,Nelson,1,3,55,0.0,0.0,13,118,0,1,0,2,0,0,0,0,0,0,0,39,42.6,32.6,29.0,10.0
25,Viktor,Gyökeres,1,4,75,13.0,0.0,128,2217,14,1,12,14,0,0,0,5,0,0,16,474,539.6,271.7,772.0,157.5
26,Kai,Havertz,1,4,75,4.0,0.0,36,577,2,3,4,4,0,0,0,1,0,0,3,143,152.6,134.6,210.0,49.9
27,Gabriel,Fernando de Jesus,1,4,60,0.4,0.0,24,418,3,0,1,6,0,0,0,3,0,0,0,92,141.8,54.3,281.0,47.5
